external_id;canonical_name;label_en;label_ru;platforms;aliases;external_url
Q105423873;A Monster's Expedition;A Monster's Expedition;A Monster's Expedition;PlayStation 4;A Monster's Expedition | A Monster's Expedition (Through Puzzling Exhibitions);https://www.wikidata.org/wiki/Q105423873
Q111152457;A Musical Story;A Musical Story;;PlayStation 5 | PlayStation 4;A Musical Story;https://www.wikidata.org/wiki/Q111152457
Q16170380;A New Day;A New Day;A New Day;PlayStation 4;A New Day | The Walking Dead - Ep. 1: A New Day | The Walking Dead - Episode 1: A New Day | The Walking Dead: A New Day | The Walking Dead: A Telltale Game Series - Season 1: Episode 1: A New Day | The Walking Dead: Episode One - A New Day;https://www.wikidata.org/wiki/Q16170380
Q111115916;A Perfect Day;A Perfect Day;;PlayStation 4;A Perfect Day;https://www.wikidata.org/wiki/Q111115916
Q60676060;A Pixel Story;A Pixel Story;;PlayStation 4;A Pixel Story;https://www.wikidata.org/wiki/Q60676060
Q135072530;A Pizza Delivery;A Pizza Delivery;;PlayStation 5;A Pizza Delivery;https://www.wikidata.org/wiki/Q135072530
Q54577668;A Plague Tale: Innocence;A Plague Tale: Innocence;A Plague Tale: Innocence;PlayStation 5 | PlayStation 4;A Plague Tale: Innocence | APTI | A Plague Tale;https://www.wikidata.org/wiki/Q54577668
Q107214641;A Plague Tale: Requiem;A Plague Tale: Requiem;A Plague Tale: Requiem;PlayStation 5;A Plague Tale: Requiem | A Plague's Tale Requiem | APTR | APT: Requiem | A Plague Tale;https://www.wikidata.org/wiki/Q107214641
Q109682864;A Pretty Odd Bunny;A Pretty Odd Bunny;;PlayStation 5 | PlayStation 4;A Pretty Odd Bunny;https://www.wikidata.org/wiki/Q109682864
Q114944700;A Robot Named Fight!;A Robot Named Fight!;;PlayStation 4;A Robot Named Fight!;https://www.wikidata.org/wiki/Q114944700
Q66035140;A Short Hike;A Short Hike;;PlayStation 4;A Short Hike;https://www.wikidata.org/wiki/Q66035140
Q111793887;A Sketchbook About Her Sun;A Sketchbook About Her Sun;;PlayStation 5 | PlayStation 4;A Sketchbook About Her Sun;https://www.wikidata.org/wiki/Q111793887
Q116375292;A Space for the Unbound;A Space for the Unbound;A Space for The Unbound;PlayStation 5 | PlayStation 4;A Space for the Unbound | ASfTU | ASfU | A Space for Unbound;https://www.wikidata.org/wiki/Q116375292
Q115193659;A Tale for Anna;A Tale for Anna;;PlayStation 4;A Tale for Anna;https://www.wikidata.org/wiki/Q115193659
Q115625257;A Tale of Paper;A Tale of Paper;;PlayStation 4;A Tale of Paper;https://www.wikidata.org/wiki/Q115625257
Q135997990;A Wild Last Boss Appeared! Black-Winged Survivor;A Wild Last Boss Appeared! Black-Winged Survivor;;PlayStation 5 | PlayStation 4;A Wild Last Boss Appeared! Black-Winged Survivor;https://www.wikidata.org/wiki/Q135997990
Q112147433;A Winter's Daydream;A Winter's Daydream;;PlayStation 4;A Winter's Daydream;https://www.wikidata.org/wiki/Q112147433
Q110037713;A year of springs;A year of springs;A year of springs;PlayStation 5 | PlayStation 4;A year of springs | AYOS;https://www.wikidata.org/wiki/Q110037713
Q88273;A-Jax;A-Jax;A Jax;PlayStation 4;A-Jax | Ajax | Typhoon;https://www.wikidata.org/wiki/Q88273
Q130320967;A-RED Walking Robot;A-RED Walking Robot;;PlayStation 5 | PlayStation 4;A-RED Walking Robot;https://www.wikidata.org/wiki/Q130320967
Q129437684;A.I.L.A.;A.I.L.A.;;PlayStation 5;A.I.L.A. | AILA | Project A.I.D.A | Project AIDA | Project A.I.L.A;https://www.wikidata.org/wiki/Q129437684
Q55381963;Aaero;Aaero;;PlayStation 4;Aaero | Aaero: Complete Edition;https://www.wikidata.org/wiki/Q55381963
Q19631678;Aaru's Awakening;Aaru's Awakening;;PlayStation 4;Aaru's Awakening;https://www.wikidata.org/wiki/Q19631678
Q138798331;Absolute Power Corrupts;Absolute Power Corrupts;;PlayStation 5;Absolute Power Corrupts;https://www.wikidata.org/wiki/Q138798331
Q122266849;Absolute Tactics: Daughters of Mercy;Absolute Tactics: Daughters of Mercy;;PlayStation 4;Absolute Tactics: Daughters of Mercy | Absolute Tactics;https://www.wikidata.org/wiki/Q122266849
Q24664848;Absolver;Absolver;Absolver;PlayStation 4;Absolver;https://www.wikidata.org/wiki/Q24664848
Q131338695;Abyss Seeker: What Do You See Deep in The Abyss;Abyss Seeker: What Do You See Deep in The Abyss;;PlayStation 4;Abyss Seeker: What Do You See Deep in The Abyss | Abyss Seeker;https://www.wikidata.org/wiki/Q131338695
Q104828524;Abyss: The Wraiths of Eden;Abyss: The Wraiths of Eden;Abyss: The Wraiths of Eden;PlayStation 4;Abyss: The Wraiths of Eden | Abyss;https://www.wikidata.org/wiki/Q104828524
Q134836591;Abyssus;Abyssus;;PlayStation 5;Abyssus;https://www.wikidata.org/wiki/Q134836591
Q20899382;Abzû;Abzû;Abzû;PlayStation 4;Abzû;https://www.wikidata.org/wiki/Q20899382
Q47252489;Accel World vs. Sword Art Online;Accel World vs. Sword Art Online;Accel World vs. Sword Art Online: Millennium Twilight;PlayStation 4;Accel World vs. Sword Art Online | Accel World vs. Sword Art Online: Millennium Twilight | Accel World vs. Sword Art Online: Chitose no Tasogare;https://www.wikidata.org/wiki/Q47252489
Q122386646;Acceptance;Acceptance;;PlayStation 5 | PlayStation 4;Acceptance;https://www.wikidata.org/wiki/Q122386646
Q114980461;Access Denied;Access Denied;;PlayStation 4;Access Denied;https://www.wikidata.org/wiki/Q114980461
Q130900186;Accolade Sports Collection;Accolade Sports Collection;;PlayStation 5 | PlayStation 4;Accolade Sports Collection;https://www.wikidata.org/wiki/Q130900186
Q28452082;Accounting;Accounting;Accounting;PlayStation 4;Accounting | Accounting: Legacy Edition | Accounting+;https://www.wikidata.org/wiki/Q28452082
Q60509593;Accounting+;Accounting+;;PlayStation 4;Accounting+;https://www.wikidata.org/wiki/Q60509593
Q339944;Ace Attorney;Ace Attorney;Ace Attorney;PlayStation 4;Ace Attorney | Phoenix Wright | Переворотный суд;https://www.wikidata.org/wiki/Q339944
Q126723238;Ace Attorney Investigations Collection;Ace Attorney Investigations Collection;Ace Attorney Investigations Collection;PlayStation 4;Ace Attorney Investigations Collection;https://www.wikidata.org/wiki/Q126723238
Q127273196;Ace Banana;Ace Banana;;PlayStation 4;Ace Banana;https://www.wikidata.org/wiki/Q127273196
Q339962;Ace Combat;Ace Combat;Ace Combat;PlayStation 4;Ace Combat;https://www.wikidata.org/wiki/Q339962
Q21704660;Ace Combat 7: Skies Unknown;Ace Combat 7: Skies Unknown;Ace Combat 7;PlayStation 4;Ace Combat 7: Skies Unknown | Ace Combat 7 | Ace Combat 7 Game | Ace Combat 7 Video Game;https://www.wikidata.org/wiki/Q21704660
Q61467510;Ace Combat 7: Skies Unknown SHAREfactory Theme;Ace Combat 7: Skies Unknown SHAREfactory Theme;;PlayStation 4;Ace Combat 7: Skies Unknown SHAREfactory Theme | Ace Combat 7;https://www.wikidata.org/wiki/Q61467510
Q86993995;Ace of Seafood;Ace of Seafood;;PlayStation 4;Ace of Seafood;https://www.wikidata.org/wiki/Q86993995
Q114980593;Aces of the Luftwaffe - Squadron;Aces of the Luftwaffe - Squadron;;PlayStation 4;Aces of the Luftwaffe - Squadron;https://www.wikidata.org/wiki/Q114980593
Q127273206;Aces of the Multiverse;Aces of the Multiverse;;PlayStation 4;Aces of the Multiverse;https://www.wikidata.org/wiki/Q127273206
Q123170517;Achilles: Legends Untold;Achilles: Legends Untold;Achilles: Legends Untold;PlayStation 5 | PlayStation 4;Achilles: Legends Untold | Achilles;https://www.wikidata.org/wiki/Q123170517
Q130286798;Achilles: Survivor;Achilles: Survivor;;PlayStation 5 | PlayStation 4;Achilles: Survivor | Achilles;https://www.wikidata.org/wiki/Q130286798
Q110159831;Achtung! Cthulhu Tactics;Achtung! Cthulhu Tactics;;PlayStation 4;Achtung! Cthulhu Tactics | ACT;https://www.wikidata.org/wiki/Q110159831
Q122385149;ACL Pro Cornhole;ACL Pro Cornhole;;PlayStation 4;ACL Pro Cornhole;https://www.wikidata.org/wiki/Q122385149
Q107424147;Act It Out! A Game Of Charades;Act It Out! A Game Of Charades;;PlayStation 4;Act It Out! A Game Of Charades;https://www.wikidata.org/wiki/Q107424147
Q110865504;Action Arcade Wrestling;Action Arcade Wrestling;Action Arcade Wrestling;PlayStation 4;Action Arcade Wrestling | AAW;https://www.wikidata.org/wiki/Q110865504
Q58864623;Action Henk;Action Henk;;PlayStation 4;Action Henk;https://www.wikidata.org/wiki/Q58864623
Q138798356;Action Surge;Action Surge;;PlayStation 5;Action Surge;https://www.wikidata.org/wiki/Q138798356
Q130719116;Active Matter;Active Matter;;PlayStation 5;Active Matter | Активная материя;https://www.wikidata.org/wiki/Q130719116
Q110738211;Active Neurons;Active Neurons;;PlayStation 5 | PlayStation 4;Active Neurons | Active Neurons - Puzzle game;https://www.wikidata.org/wiki/Q110738211
Q114980806;Active Neurons 2;Active Neurons 2;;PlayStation 4;Active Neurons 2;https://www.wikidata.org/wiki/Q114980806
Q107424148;Active Soccer 2 DX;Active Soccer 2 DX;;PlayStation 4;Active Soccer 2 DX;https://www.wikidata.org/wiki/Q107424148
Q108800081;Actraiser Renaissance;Actraiser Renaissance;Actraiser Renaissance;PlayStation 4;Actraiser Renaissance;https://www.wikidata.org/wiki/Q108800081
Q4678586;Adam's Venture;Adam's Venture;Adam's Venture;PlayStation 4;Adam's Venture;https://www.wikidata.org/wiki/Q4678586
Q107424149;Adam’s Venture: Origins;Adam’s Venture: Origins;;PlayStation 4;Adam’s Venture: Origins | Adam’s Venture;https://www.wikidata.org/wiki/Q107424149
Q4651139;ADK Tamashii;ADK Tamashii;;PlayStation 4;ADK Tamashii | ADK Damashii;https://www.wikidata.org/wiki/Q4651139
Q116745779;ADR1FT;ADR1FT;;PlayStation 4;ADR1FT;https://www.wikidata.org/wiki/Q116745779
Q18693102;Adrift;Adrift;Adrift;PlayStation 4;Adrift | ADR1FT;https://www.wikidata.org/wiki/Q18693102
Q114199179;Adventure Academia: The Fractured Continent;Adventure Academia: The Fractured Continent;Adventure Academia: The Fractured Continent;PlayStation 4;Adventure Academia: The Fractured Continent | Adventure Academia;https://www.wikidata.org/wiki/Q114199179
Q120838516;Adventure Bar Story;Adventure Bar Story;Adventure Bar Story;PlayStation 5 | PlayStation 4;Adventure Bar Story;https://www.wikidata.org/wiki/Q120838516
Q134738038;Adventure of Samsara;Adventure of Samsara;;PlayStation 5 | PlayStation 4;Adventure of Samsara;https://www.wikidata.org/wiki/Q134738038
Q127391572;Adventure Pop;Adventure Pop;;PlayStation 4;Adventure Pop;https://www.wikidata.org/wiki/Q127391572
